"Player                                             ▾","2024 Salary","2024 Signing","G","MIN","USG%","PPP","ppsa","EFG%","FT Rate","3P Rate","% Pts FT","% Pts 2P","% Pts 3P","ORB%","DRB%","TRB%","AST%","TOV%","AST/TOV","STL%","BLK%","PF%"
"Kennedy Burke                                                                                   K Burke","$76,535","UFA","38","459","15.9%","0.79","0.95","46.6%","7.5%","42.0%","6.1%","59.5%","34.4%","3.6%","10.6%","7.3%","10.7%","16.4%","1.22","2.3%","2.0%","3.6%"
"Rae Burrell                                                                                   R Burrell","$125,000","UFA","37","579","18.8%","0.89","1.05","43.6%","34.1%","34.3%","35.5%","31.8%","32.7%","4.2%","10.0%","7.0%","12.3%","15.0%","1.14","2.3%","1.7%","4.6%"
"Veronica Burton                                                                                   V Burton","$50,180","UFA","31","392","12.2%","0.91","1.07","45.1%","34.0%","41.1%","32.3%","27.1%","40.6%","4.1%","9.8%","7.0%","22.1%","14.3%","3.87","1.6%","1.7%","3.8%"
"Maya Caldwell                                                                                   M Caldwell","$36,841","UFA","25","405","17.0%","0.85","0.99","47.6%","8.5%","37.9%","9.2%","56.5%","34.4%","5.7%","7.0%","6.3%","11.6%","14.8%","1.17","1.7%","1.1%","3.4%"
"Jordin Canada                                                                                   J Canada","$185,000","UFA","20","624","18.0%","0.84","1.00","43.5%","21.6%","27.1%","27.0%","50.2%","22.7%","2.2%","11.0%","6.4%","31.4%","16.7%","2.76","2.4%","0.8%","3.9%"
"Emma Cannon                                                                                   E Cannon","","UFA","5","9","20.0%","1.00","1.33","66.7%","0.0%","33.3%","0.0%","100.0%","0.0%","0.0%","25.0%","11.8%","16.7%","25.0%","1.00","0.0%","0.0%","0.0%"
"Emma Cannon                                                                                   E Cannon","$27,280","UFA","5","9","20.0%","1.00","1.33","66.7%","0.0%","33.3%","0.0%","100.0%","0.0%","0.0%","25.0%","11.8%","16.7%","25.0%","1.00","0.0%","0.0%","0.0%"
"Kamilla Cardoso                                                                                   K Cardoso","$76,535","Rookie","32","876","16.4%","0.95","1.11","52.1%","14.2%","0.0%","19.5%","80.5%","0.0%","12.2%","21.2%","16.5%","10.2%","14.8%","1.10","0.9%","4.8%","5.2%"
"Bridget Carleton                                                                                   B Carleton","$125,000","UFA","39","1,165","13.3%","1.10","1.24","60.4%","16.8%","68.3%","8.0%","18.8%","73.2%","3.8%","10.5%","7.3%","11.7%","11.8%","2.18","1.5%","0.9%","3.0%"
"DiJonai Carrington                                                                                   D Carrington","$78,469","Rookie","39","1,155","22.6%","0.87","0.99","43.4%","17.7%","20.8%","25.0%","59.3%","15.7%","5.6%","15.7%","10.5%","9.2%","12.9%","0.82","2.5%","1.4%","4.0%"
"Chennedy Carter                                                                                   C Carter","$76,535","UFA","33","858","29.9%","0.96","1.06","49.6%","10.7%","5.7%","15.9%","79.4%","4.7%","2.7%","12.9%","7.6%","24.2%","9.2%","1.85","1.9%","0.6%","5.4%"
"Jessika Carter                                                                                   J Carter","$10,798","UFA","2","4","20.0%","0.00","0.00","0.0%","50.0%","0.0%","--","--","--","0.0%","0.0%","0.0%","0.0%","0.0%","--","0.0%","0.0%","0.0%"
"Tina Charles                                                                                   T Charles","$130,000","UFA","39","1,160","24.6%","0.91","1.00","46.6%","8.6%","7.3%","14.5%","79.9%","5.7%","9.3%","28.4%","18.5%","16.1%","9.5%","1.46","1.4%","1.6%","3.8%"
"Layshia Clarendon                                                                                   L Clarendon","$100,000","UFA","21","335","14.5%","0.82","1.06","47.3%","16.7%","23.3%","22.0%","54.9%","23.1%","2.1%","11.5%","6.8%","26.6%","22.5%","2.16","2.0%","0.3%","5.9%"
"Alysha Clark                                                                                   A Clark","$110,000","UFA","40","972","12.1%","0.92","1.17","56.5%","16.5%","61.5%","9.6%","31.7%","58.8%","2.5%","14.3%","8.6%","10.5%","21.2%","1.27","1.5%","1.0%","4.9%"
"Caitlin Clark                                                                                   C Clark","$76,535","--","40","1,416","27.4%","0.87","1.16","52.2%","26.7%","53.6%","21.2%","31.2%","47.6%","1.2%","17.2%","9.4%","39.0%","25.2%","1.51","1.6%","1.7%","3.4%"
"Natasha Cloud                                                                                   N Cloud","$200,000","UFA","38","1,265","19.6%","0.80","1.02","45.4%","16.4%","33.3%","20.5%","49.3%","30.1%","1.7%","12.2%","7.1%","34.2%","21.1%","2.29","1.9%","1.7%","3.5%"
"Nia Coffey                                                                                   N Coffey","$150,000","UFA","40","534","16.6%","0.66","0.82","38.5%","10.9%","41.8%","12.3%","46.2%","41.5%","3.9%","16.6%","10.0%","14.5%","20.2%","1.15","1.0%","4.4%","4.1%"
"Napheesa Collier                                                                                   N Collier","$215,469","--","34","1,181","26.5%","1.01","1.13","52.0%","13.6%","16.3%","18.3%","68.3%","13.4%","7.9%","23.2%","16.1%","18.1%","10.2%","1.64","2.4%","3.4%","3.2%"
"Sydney Colson                                                                                   S Colson","$76,535","UFA","31","248","15.0%","0.93","1.12","53.1%","12.9%","54.4%","10.5%","34.2%","55.3%","0.5%","6.2%","3.4%","17.8%","17.1%","2.14","2.7%","1.8%","4.2%"
"Zia Cooke                                                                                   Z Cooke","$69,663","--","29","258","25.0%","0.71","0.82","37.1%","14.8%","29.6%","19.4%","48.5%","32.0%","1.4%","7.1%","4.2%","12.0%","14.4%","0.81","1.6%","1.0%","3.8%"
"Kahleah Copper                                                                                   K Copper","$241,984","Core","37","1,197","31.5%","0.94","1.09","49.0%","18.4%","30.6%","21.4%","52.2%","26.5%","2.4%","13.7%","8.2%","14.3%","13.3%","0.76","1.1%","0.2%","4.4%"
"Lorela Cubaj                                                                                   L Cubaj","$64,154","UFA","28","221","10.0%","0.67","0.89","42.9%","5.4%","0.0%","9.1%","90.9%","0.0%","9.1%","11.8%","10.5%","11.5%","24.5%","1.25","1.9%","0.9%","7.0%"
"Sophie Cunningham                                                                                   S Cunningham","$189,500","RFA","40","1,109","12.7%","1.08","1.23","57.1%","34.1%","66.4%","18.0%","21.0%","61.1%","1.7%","14.2%","8.2%","11.3%","12.3%","2.08","1.6%","0.8%","3.6%"
"Crystal Dangerfield                                                                                   C Dangerfield","$36,436","Reserved","33","440","16.4%","0.64","0.76","34.7%","10.4%","44.6%","14.2%","37.7%","48.1%","0.5%","8.9%","4.4%","24.2%","15.8%","2.38","1.1%","1.2%","2.5%"
"Crystal Dangerfield                                                                                   C Dangerfield","$15,912","Hardship","33","440","16.4%","0.64","0.76","34.7%","10.4%","44.6%","14.2%","37.7%","48.1%","0.5%","8.9%","4.4%","24.2%","15.8%","2.38","1.1%","1.2%","2.5%"
"Crystal Dangerfield                                                                                   C Dangerfield","$21,218","Hardship","33","440","16.4%","0.64","0.76","34.7%","10.4%","44.6%","14.2%","37.7%","48.1%","0.5%","8.9%","4.4%","24.2%","15.8%","2.38","1.1%","1.2%","2.5%"
"Damiris Dantas                                                                                   D Dantas","$97,100","UFA","20","210","18.9%","0.97","1.11","54.7%","12.8%","41.3%","9.0%","47.2%","43.8%","2.3%","21.0%","12.0%","8.5%","13.0%","1.00","1.0%","2.2%","4.2%"
"Kaela Davis                                                                                   K Davis","$5,304","Hardship","4","52","16.7%","0.67","0.86","41.7%","16.7%","14.3%","16.7%","33.3%","50.0%","2.3%","8.3%","4.8%","4.0%","22.2%","0.25","0.9%","3.0%","4.5%"
"Kaela Davis                                                                                   K Davis","$1,516","Hardship","4","52","16.7%","0.67","0.86","41.7%","16.7%","14.3%","16.7%","33.3%","50.0%","2.3%","8.3%","4.8%","4.0%","22.2%","0.25","0.9%","3.0%","4.5%"
"Marquesha Davis                                                                                   M Davis","$70,344","Rookie","20","80","15.5%","0.86","0.96","43.2%","12.5%","4.0%","20.8%","66.7%","12.5%","3.2%","11.1%","7.4%","7.3%","10.7%","1.33","0.5%","4.1%","6.0%"
"Diamond DeShields                                                                                   D DeShields","$100,000","UFA","32","441","20.0%","0.70","0.81","37.6%","12.1%","29.5%","15.4%","65.7%","18.9%","1.8%","10.6%","6.0%","15.8%","14.1%","1.48","2.0%","1.6%","5.2%"
"Skylar Diggins-Smith                                                                                   S Diggins-Smith","$208,219","UFA","40","1,262","23.8%","0.88","1.05","46.6%","14.9%","23.3%","21.5%","59.2%","19.3%","2.5%","7.1%","4.7%","34.1%","16.0%","2.34","2.4%","2.5%","3.9%"
"Liz Dixon                                                                                   L Dixon","$32,395","UFA","17","160","11.6%","0.71","0.88","37.9%","14.7%","0.0%","26.7%","73.3%","0.0%","9.9%","19.0%","14.6%","9.5%","19.0%","1.13","0.3%","5.2%","3.5%"
"Liz Dixon                                                                                   L Dixon","$4,446","UFA","17","160","11.6%","0.71","0.88","37.9%","14.7%","0.0%","26.7%","73.3%","0.0%","9.9%","19.0%","14.6%","9.5%","19.0%","1.13","0.3%","5.2%","3.5%"
"Ivana Dojkić                                                                                   I Dojkić","$64,154","UFA","26","257","17.3%","0.86","1.00","44.6%","28.9%","48.3%","24.1%","20.7%","55.2%","4.4%","5.7%","5.0%","10.8%","13.9%","1.43","1.6%","0.3%","4.5%"
"Stefanie Dolson                                                                                   S Dolson","$185,000","UFA","39","1,013","16.2%","1.01","1.24","60.4%","12.6%","52.0%","8.9%","32.9%","58.2%","3.8%","19.0%","11.4%","17.0%","18.6%","1.50","0.9%","1.7%","5.0%"
"Aaliyah Edwards                                                                                   A Edwards","$73,439","Rookie","34","741","17.9%","0.87","1.04","49.0%","15.8%","2.8%","20.2%","79.8%","0.0%","7.5%","23.7%","15.3%","11.1%","16.8%","0.96","1.5%","3.4%","5.4%"
"Queen Egbo                                                                                   Q Egbo","$18,415","--","8","29","19.1%","0.92","0.92","41.7%","7.7%","0.0%","16.7%","83.3%","0.0%","11.5%","26.9%","19.2%","0.0%","0.0%","--","4.5%","3.0%","6.0%"
"Queen Egbo                                                                                   Q Egbo","$6,352","Hardship","8","29","19.1%","0.92","0.92","41.7%","7.7%","0.0%","16.7%","83.3%","0.0%","11.5%","26.9%","19.2%","0.0%","0.0%","--","4.5%","3.0%","6.0%"
"Queen Egbo                                                                                   Q Egbo","$2,541","UFA","8","29","19.1%","0.92","0.92","41.7%","7.7%","0.0%","16.7%","83.3%","0.0%","11.5%","26.9%","19.2%","0.0%","0.0%","--","4.5%","3.0%","6.0%"
"Queen Egbo                                                                                   Q Egbo","$8,892","UFA","8","29","19.1%","0.92","0.92","41.7%","7.7%","0.0%","16.7%","83.3%","0.0%","11.5%","26.9%","19.2%","0.0%","0.0%","--","4.5%","3.0%","6.0%"
"Emily Engstler                                                                                   E Engstler","$64,154","UFA","32","464","18.0%","1.06","1.21","58.1%","8.5%","35.0%","9.1%","49.7%","41.1%","11.3%","21.7%","16.4%","17.9%","11.9%","2.14","1.8%","4.7%","4.7%"
"Dana Evans                                                                                   D Evans","$78,469","Rookie","39","743","19.0%","0.85","1.02","45.8%","13.3%","39.8%","17.2%","38.7%","44.1%","0.7%","6.1%","3.3%","20.8%","16.2%","1.77","1.6%","0.6%","2.9%"
"Temi Fagbenle                                                                                   T Fagbenle","$76,535","Reserved","22","415","16.1%","0.92","1.11","51.8%","10.5%","9.5%","15.7%","80.0%","4.3%","8.8%","20.6%","14.6%","7.8%","17.6%","0.74","1.2%","3.3%","7.0%"
"Dyaisha Fair                                                                                   D Fair","$9,987","Rookie","1","4","22.2%","0.00","0.00","0.0%","0.0%","50.0%","--","--","--","0.0%","0.0%","0.0%","66.7%","0.0%","--","0.0%","0.0%","0.0%"
"Dulcy Fankam Mendjiadeu                                                                                   D Fankam Mendjiadeu","$13,188","--","7","36","9.4%","0.75","1.20","66.7%","40.0%","0.0%","33.3%","66.7%","0.0%","12.5%","15.6%","14.5%","3.8%","37.5%","0.33","0.0%","0.0%","6.0%"
"Leonie Fiebich                                                                                   L Fiebich","$67,249","--","40","837","13.7%","1.04","1.24","61.3%","13.6%","59.1%","6.7%","31.5%","61.8%","5.5%","11.1%","8.3%","12.8%","16.0%","1.71","2.1%","0.7%","4.8%"
"Kysre Gondrezick                                                                                   K Gondrezick","$30,489","UFA","5","16","25.6%","0.50","0.71","35.7%","0.0%","85.7%","0.0%","40.0%","60.0%","6.7%","7.1%","6.9%","20.0%","30.0%","0.67","10.3%","0.0%","5.1%"
"Allisha Gray                                                                                   A Gray","$185,000","RFA","40","1,327","22.2%","0.94","1.04","47.1%","22.1%","33.9%","23.0%","43.7%","33.3%","3.7%","11.5%","7.5%","15.2%","10.1%","1.60","1.4%","2.0%","3.2%"
"Chelsea Gray                                                                                   C Gray","$196,267","UFA","27","702","19.3%","0.80","1.03","47.1%","13.4%","34.1%","16.7%","49.8%","33.5%","0.9%","11.5%","6.5%","29.3%","22.1%","2.06","2.1%","2.2%","2.3%"
"Brittney Griner                                                                                   B Griner","$150,000","UFA","30","861","25.7%","1.12","1.26","59.1%","11.5%","4.2%","16.3%","78.7%","5.1%","7.8%","19.1%","13.6%","16.3%","11.1%","1.30","0.8%","4.8%","2.9%"
"Megan Gustafson                                                                                   M Gustafson","$94,000","UFA","38","405","14.2%","1.11","1.25","60.4%","12.5%","50.4%","9.2%","44.0%","46.8%","6.7%","14.0%","10.5%","3.4%","11.0%","0.64","1.4%","1.0%","6.5%"
"Dearica Hamby                                                                                   D Hamby","$189,000","--","40","1,346","24.0%","0.95","1.13","54.1%","17.1%","14.4%","18.1%","68.9%","13.0%","5.5%","27.5%","16.5%","20.7%","16.1%","1.18","2.3%","0.5%","3.6%"
"Tyasha Harris                                                                                   T Harris","$97,100","--","39","1,125","17.4%","0.95","1.09","51.3%","15.2%","40.5%","14.4%","41.6%","44.0%","1.1%","6.6%","3.8%","17.7%","12.6%","2.19","1.7%","1.1%","2.7%"
"Isabelle Harrison                                                                                   I Harrison","$160,000","UFA","36","587","22.3%","0.79","0.90","40.5%","8.7%","6.9%","17.5%","78.6%","3.8%","7.1%","21.3%","13.8%","8.1%","13.1%","0.69","1.5%","1.8%","3.6%"
"Tiffany Hayes                                                                                   T Hayes","$88,000","UFA","33","708","18.7%","1.09","1.21","57.5%","22.0%","31.7%","19.2%","49.2%","31.6%","4.7%","10.6%","7.7%","15.8%","9.8%","2.46","1.6%","1.1%","4.3%"
