"Player                                             ▾","2024 Salary","2024 Signing","G","MIN","USG%","PPP","ppsa","EFG%","FT Rate","3P Rate","% Pts FT","% Pts 2P","% Pts 3P","ORB%","DRB%","TRB%","AST%","TOV%","AST/TOV","STL%","BLK%","PF%"
"Diamond Miller                                                                                   D Miller","$75,792","--","21","213","21.0%","0.62","0.76","34.1%","20.4%","32.5%","23.0%","52.5%","24.6%","5.1%","15.8%","10.4%","10.1%","19.2%","0.68","1.5%","0.4%","4.9%"
"Kelsey Mitchell                                                                                   K Mitchell","$212,000","--","40","1,280","24.4%","1.07","1.18","55.9%","12.7%","41.7%","12.3%","45.1%","42.6%","2.5%","6.4%","4.5%","9.8%","9.0%","1.11","0.9%","0.5%","2.2%"
"Tiffany Mitchell                                                                                   T Mitchell","$139,050","UFA","24","391","17.0%","0.81","0.91","37.6%","19.8%","18.5%","30.5%","54.2%","15.3%","3.5%","8.4%","5.9%","7.9%","10.3%","1.27","1.3%","0.3%","3.5%"
"Nika Mühl                                                                                   N Mühl","$67,249","--","16","57","13.6%","0.11","0.14","7.1%","0.0%","78.6%","0.0%","100.0%","0.0%","12.5%","7.8%","9.7%","14.6%","22.2%","1.75","1.6%","0.0%","7.0%"
"Astou Ndour-Fall                                                                                   A Ndour-Fall","$125,000","UFA","22","92","15.8%","0.78","0.86","38.5%","15.8%","34.5%","20.0%","56.0%","24.0%","2.9%","20.5%","12.1%","1.6%","9.4%","0.33","0.5%","4.1%","5.0%"
"Olivia Nelson-Ododa                                                                                   O Nelson-Ododa","$71,124","Rookie","37","437","15.2%","0.86","1.07","49.5%","15.4%","0.0%","21.6%","78.4%","0.0%","8.5%","17.8%","13.1%","2.9%","19.9%","0.28","1.5%","4.7%","6.7%"
"Kia Nurse                                                                                   K Nurse","$142,500","UFA","40","810","18.5%","0.89","1.04","48.9%","20.8%","55.2%","15.2%","32.3%","52.5%","2.6%","7.0%","4.8%","11.6%","14.5%","1.08","1.0%","0.1%","4.0%"
"Arike Ogunbowale                                                                                   A Ogunbowale","$241,984","--","38","1,466","26.6%","0.92","1.04","46.0%","17.2%","39.9%","20.7%","39.5%","39.8%","2.3%","12.0%","7.0%","22.4%","11.2%","1.89","2.4%","0.6%","3.2%"
"Nneka Ogwumike                                                                                   N Ogwumike","$204,500","UFA","37","1,177","21.8%","1.06","1.15","54.2%","9.3%","13.8%","13.7%","71.7%","14.5%","6.6%","20.7%","13.6%","13.1%","8.4%","1.76","2.6%","1.4%","3.1%"
"Michaela Onyenwere                                                                                   M Onyenwere","$85,690","Rookie","34","636","18.9%","0.82","0.98","47.4%","11.7%","29.4%","11.1%","55.8%","33.2%","3.3%","8.0%","5.6%","8.8%","15.7%","0.77","1.4%","1.6%","4.8%"
"Charisma Osborne                                                                                   C Osborne","$45,098","UFA","2","10","17.4%","0.50","1.00","50.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","14.3%","5.6%","16.7%","50.0%","0.50","0.0%","0.0%","4.8%"
"Cheyenne Parker-Tyus                                                                                   C Parker-Tyus","$200,000","UFA","25","492","24.3%","0.85","1.05","45.2%","15.6%","6.4%","26.8%","69.3%","3.9%","7.2%","21.2%","14.1%","14.3%","19.2%","0.71","1.9%","1.6%","5.4%"
"Alissa Pili                                                                                   A Pili","$73,439","--","22","138","22.4%","0.78","1.08","52.2%","18.2%","55.1%","11.3%","37.7%","50.9%","5.0%","17.8%","11.4%","6.3%","27.9%","0.26","1.6%","1.4%","9.4%"
"Kelsey Plum                                                                                   K Plum","$200,000","--","38","1,291","24.6%","0.98","1.13","52.3%","17.2%","49.8%","15.2%","36.0%","48.7%","0.9%","7.6%","4.3%","21.3%","13.4%","1.71","0.9%","0.1%","3.6%"
"Aerial Powers                                                                                   A Powers","$155,000","UFA","17","304","25.8%","0.83","0.93","40.6%","15.7%","22.9%","23.3%","47.9%","28.8%","5.5%","16.2%","10.6%","15.7%","10.3%","1.33","2.3%","1.2%","5.1%"
"Angel Reese                                                                                   A Reese","$73,439","Rookie","34","1,104","22.4%","0.80","0.92","39.5%","16.9%","3.2%","28.4%","69.7%","1.9%","17.0%","29.3%","22.9%","9.5%","13.0%","0.84","1.8%","1.3%","4.8%"
"DiDi Richards                                                                                   D Richards","$64,154","UFA","19","198","14.4%","0.72","0.81","40.0%","13.2%","7.0%","13.0%","87.0%","0.0%","6.1%","12.4%","9.0%","10.7%","10.9%","1.86","0.5%","2.1%","3.4%"
"Mercedes Russell                                                                                   M Russell","$160,000","RFA","37","583","11.9%","0.91","1.09","51.7%","9.8%","0.0%","14.5%","85.5%","0.0%","5.1%","16.4%","10.8%","7.6%","16.4%","1.15","1.7%","1.3%","3.3%"
"Nyara Sabally                                                                                   N Sabally","$72,727","--","26","352","14.6%","1.09","1.23","57.5%","16.7%","1.9%","21.9%","78.1%","0.0%","11.4%","23.1%","17.5%","6.8%","11.1%","1.15","2.9%","4.5%","5.2%"
"Satou Sabally                                                                                   S Sabally","$195,000","RFA","15","512","22.6%","0.97","1.13","51.7%","19.4%","35.1%","19.7%","37.9%","42.4%","3.9%","18.7%","10.9%","23.0%","13.4%","2.03","1.6%","1.4%","4.0%"
"Karlie Samuelson                                                                                   K Samuelson","$125,000","UFA","29","711","14.8%","1.04","1.16","53.6%","18.6%","58.9%","14.8%","24.7%","60.5%","2.4%","10.2%","6.2%","14.6%","10.7%","2.48","1.7%","0.1%","3.0%"
"Katie Lou Samuelson                                                                                   K Samuelson","$175,000","UFA","37","674","11.3%","0.91","1.02","46.2%","17.9%","64.1%","15.1%","22.6%","62.3%","3.0%","11.6%","7.4%","10.7%","10.3%","2.83","0.8%","1.2%","3.5%"
"Victaria Saxton                                                                                   V Saxton","$64,154","--","9","23","22.0%","0.73","0.80","38.9%","16.7%","40.0%","12.5%","50.0%","37.5%","0.0%","15.8%","7.9%","0.0%","9.1%","0.00","0.0%","0.0%","7.5%"
"Jacy Sheldon                                                                                   J Sheldon","$73,439","Rookie","40","931","13.0%","0.76","0.98","45.7%","9.6%","43.7%","11.5%","47.0%","41.5%","3.4%","7.3%","5.2%","15.3%","22.1%","1.57","1.1%","1.1%","4.7%"
"Jaylyn Sherrod                                                                                   J Sherrod","$13,338","UFA","10","37","22.6%","1.00","1.12","57.1%","27.3%","35.3%","15.8%","52.6%","31.6%","6.3%","3.2%","4.8%","23.8%","10.5%","2.50","3.7%","2.1%","4.9%"
"Jaylyn Sherrod                                                                                   J Sherrod","$17,150","UFA","10","37","22.6%","1.00","1.12","57.1%","27.3%","35.3%","15.8%","52.6%","31.6%","6.3%","3.2%","4.8%","23.8%","10.5%","2.50","3.7%","2.1%","4.9%"
"Maddy Siegrist                                                                                   M Siegrist","$75,792","--","27","644","16.3%","1.04","1.11","52.9%","10.4%","16.1%","12.9%","75.3%","11.8%","7.9%","8.8%","8.4%","7.0%","6.1%","1.80","0.7%","1.3%","2.2%"
"Odyssey Sims                                                                                   O Sims","$13,072","Hardship","24","700","20.3%","0.93","1.11","52.5%","14.0%","21.3%","15.9%","64.2%","19.9%","3.0%","6.1%","4.5%","30.0%","16.0%","2.44","1.8%","0.6%","2.3%"
"Odyssey Sims                                                                                   O Sims","$15,912","Hardship","24","700","20.3%","0.93","1.11","52.5%","14.0%","21.3%","15.9%","64.2%","19.9%","3.0%","6.1%","4.5%","30.0%","16.0%","2.44","1.8%","0.6%","2.3%"
"Odyssey Sims                                                                                   O Sims","$9,851","Hardship","24","700","20.3%","0.93","1.11","52.5%","14.0%","21.3%","15.9%","64.2%","19.9%","3.0%","6.1%","4.5%","30.0%","16.0%","2.44","1.8%","0.6%","2.3%"
"Alanna Smith                                                                                   A Smith","$150,000","UFA","39","1,035","18.5%","0.94","1.15","54.6%","14.2%","34.3%","13.7%","50.6%","35.7%","7.2%","17.0%","12.3%","20.0%","18.1%","1.63","2.3%","4.8%","5.1%"
"NaLyssa Smith                                                                                   N Smith","$80,943","Rookie","40","990","20.4%","0.92","1.03","50.0%","16.1%","11.8%","17.1%","73.0%","10.0%","8.6%","24.5%","16.7%","6.8%","11.3%","0.79","1.3%","3.5%","4.7%"
"Stephanie Soares                                                                                   S Soares","$76,535","--","22","175","11.4%","0.51","0.69","32.4%","4.3%","34.3%","8.3%","66.7%","25.0%","11.8%","18.4%","15.2%","8.5%","25.5%","0.83","0.5%","3.6%","4.3%"
"Taylor Soule                                                                                   T Soule","$8,893","UFA","2","3","16.7%","0.00","--","--","--","--","--","--","--","0.0%","50.0%","16.7%","0.0%","100.0%","0.00","0.0%","0.0%","0.0%"
"Azurá Stevens                                                                                   A Stevens","$215,000","UFA","20","493","20.0%","0.85","1.02","47.8%","10.1%","42.3%","11.5%","44.8%","43.8%","4.9%","30.2%","17.3%","13.1%","16.0%","1.06","1.5%","3.1%","3.5%"
"Breanna Stewart                                                                                   B Stewart","$205,000","Core","38","1,243","26.7%","1.04","1.14","49.8%","20.1%","22.8%","25.9%","56.4%","17.8%","5.8%","23.7%","14.9%","19.4%","8.7%","2.06","2.3%","3.3%","2.9%"
"Kiah Stokes                                                                                   K Stokes","$100,000","UFA","39","717","5.2%","0.68","0.83","39.5%","15.4%","60.6%","10.9%","40.0%","49.1%","3.8%","24.9%","14.7%","5.3%","18.5%","1.87","1.3%","3.9%","4.2%"
"Sug Sutton                                                                                   S Sutton","$64,154","Reserved","29","380","14.1%","0.56","0.79","36.7%","13.6%","48.2%","13.4%","41.8%","44.8%","1.9%","6.6%","4.4%","23.7%","28.6%","1.82","1.8%","0.2%","3.0%"
"Brittney Sykes                                                                                   B Sykes","$200,000","UFA","18","419","28.6%","0.83","0.97","44.5%","15.6%","26.1%","19.1%","59.1%","21.8%","3.1%","17.4%","10.3%","24.4%","15.0%","1.38","1.7%","1.5%","2.7%"
"Stephanie Talbot                                                                                   S Talbot","$115,000","UFA","37","600","12.9%","0.75","0.95","44.8%","15.9%","36.2%","15.3%","55.0%","29.8%","4.1%","16.3%","10.1%","19.9%","21.1%","2.05","1.4%","2.5%","3.8%"
"Diana Taurasi                                                                                   D Taurasi","$234,936","UFA","36","1,044","24.0%","0.97","1.11","50.0%","24.2%","53.2%","20.1%","32.0%","48.0%","1.5%","13.3%","7.5%","20.9%","12.3%","1.79","0.9%","0.9%","3.8%"
"Celeste Taylor                                                                                   C Taylor","$29,962","--","22","328","13.0%","0.63","0.83","38.7%","20.0%","42.9%","17.2%","51.7%","31.0%","2.2%","7.5%","5.0%","13.0%","23.9%","1.27","2.0%","2.7%","2.9%"
"Celeste Taylor                                                                                   C Taylor","$13,338","UFA","22","328","13.0%","0.63","0.83","38.7%","20.0%","42.9%","17.2%","51.7%","31.0%","2.2%","7.5%","5.0%","13.0%","23.9%","1.27","2.0%","2.7%","2.9%"
"Celeste Taylor                                                                                   C Taylor","$8,893","UFA","22","328","13.0%","0.63","0.83","38.7%","20.0%","42.9%","17.2%","51.7%","31.0%","2.2%","7.5%","5.0%","13.0%","23.9%","1.27","2.0%","2.7%","2.9%"
"Celeste Taylor                                                                                   C Taylor","$4,446","UFA","22","328","13.0%","0.63","0.83","38.7%","20.0%","42.9%","17.2%","51.7%","31.0%","2.2%","7.5%","5.0%","13.0%","23.9%","1.27","2.0%","2.7%","2.9%"
"Alyssa Thomas                                                                                   A Thomas","$218,000","UFA","40","1,296","18.8%","0.79","1.08","50.9%","16.6%","1.0%","21.5%","78.5%","0.0%","9.1%","23.5%","16.1%","41.1%","27.1%","2.19","2.2%","1.3%","3.0%"
"Kayla Thornton                                                                                   K Thornton","$110,000","--","40","809","13.0%","0.93","1.03","49.0%","12.5%","58.9%","10.0%","29.0%","61.1%","5.7%","8.9%","7.3%","4.9%","9.7%","1.17","1.6%","0.9%","3.1%"
"Brianna Turner                                                                                   B Turner","$150,000","--","27","253","6.8%","0.85","1.22","61.5%","3.7%","0.0%","3.0%","97.0%","0.0%","4.7%","20.9%","12.2%","6.2%","30.8%","0.83","1.6%","4.3%","5.0%"
"Sevgi Uzun                                                                                   S Uzun","$64,154","Rookie","40","820","14.7%","0.62","0.84","39.2%","8.0%","40.2%","10.9%","54.9%","34.3%","1.3%","8.2%","4.7%","20.7%","25.9%","1.63","2.0%","1.2%","3.2%"
"Courtney Vandersloot                                                                                   C Vandersloot","$194,670","UFA","31","692","16.1%","0.78","1.01","49.5%","10.9%","34.2%","8.6%","64.0%","27.4%","2.2%","10.9%","6.7%","33.6%","22.2%","2.66","1.6%","1.8%","3.4%"
"Julie Vanloo                                                                                   J Vanloo","$64,154","Rookie","40","926","20.1%","0.71","0.94","46.4%","7.7%","70.9%","3.4%","23.1%","73.5%","0.6%","7.9%","4.2%","30.6%","24.6%","1.70","0.9%","0.1%","4.1%"
"Victoria Vivians                                                                                   V Vivians","$85,000","RFA","35","445","14.2%","0.75","0.87","42.3%","6.9%","54.3%","5.5%","34.5%","60.0%","4.8%","13.0%","8.8%","9.6%","13.6%","1.45","1.3%","1.4%","4.1%"
"Victoria Vivians                                                                                   V Vivians","$76,535","UFA","35","445","14.2%","0.75","0.87","42.3%","6.9%","54.3%","5.5%","34.5%","60.0%","4.8%","13.0%","8.8%","9.6%","13.6%","1.45","1.3%","1.4%","4.1%"
"Shatori Walker-Kimbrough                                                                                   S Walker-Kimbrough","$97,850","UFA","40","883","17.0%","0.89","1.06","48.4%","16.5%","37.6%","18.1%","46.8%","35.1%","1.7%","7.7%","4.7%","14.0%","16.1%","1.39","2.1%","1.9%","2.0%"
"Kristy Wallace                                                                                   K Wallace","$71,124","Rookie","26","447","14.3%","0.86","0.98","47.4%","13.2%","46.0%","9.8%","48.8%","41.5%","2.9%","9.7%","6.3%","15.7%","11.9%","2.65","1.8%","1.2%","2.9%"
"Erica Wheeler                                                                                   E Wheeler","$202,154","UFA","39","546","14.8%","0.78","0.97","46.5%","6.3%","35.4%","7.7%","60.6%","31.7%","1.5%","9.7%","5.7%","19.4%","19.2%","1.97","1.4%","0.7%","3.6%"
"Sami Whitcomb                                                                                   S Whitcomb","$140,000","UFA","40","611","18.0%","0.79","0.94","45.9%","7.8%","75.9%","4.5%","25.0%","70.5%","2.8%","11.0%","6.9%","15.8%","15.9%","1.60","2.1%","1.3%","4.0%"
"Courtney Williams                                                                                   C Williams","$175,000","UFA","40","1,061","24.0%","0.80","0.97","46.9%","4.9%","15.1%","7.6%","76.9%","15.5%","1.6%","18.0%","10.2%","37.1%","17.7%","2.26","1.5%","1.3%","3.2%"
"Elizabeth Williams                                                                                   E Williams","$165,000","UFA","9","249","17.0%","0.88","1.03","48.7%","12.6%","0.0%","17.8%","82.2%","0.0%","10.2%","17.8%","13.8%","9.7%","14.7%","0.93","2.6%","5.0%","3.2%"
"Gabby Williams                                                                                   G Williams","$23,491","UFA","12","351","16.6%","0.96","1.11","52.9%","9.9%","27.7%","11.3%","64.5%","24.2%","3.0%","13.2%","8.0%","19.2%","13.2%","2.59","2.5%","0.7%","2.7%"
"Kiana Williams                                                                                   K Williams","$32,395","UFA","13","45","17.1%","0.61","0.69","34.4%","0.0%","56.3%","0.0%","18.2%","81.8%","0.0%","5.3%","2.5%","15.2%","11.1%","2.50","0.0%","0.0%","2.9%"
"Kiana Williams                                                                                   K Williams","$8,892","UFA","13","45","17.1%","0.61","0.69","34.4%","0.0%","56.3%","0.0%","18.2%","81.8%","0.0%","5.3%","2.5%","15.2%","11.1%","2.50","0.0%","0.0%","2.9%"
"A'ja Wilson                                                                                   A Wilson","$227,303","RFA","38","1,308","32.0%","1.12","1.18","53.1%","15.3%","6.9%","22.7%","71.7%","5.6%","7.2%","31.8%","19.8%","14.2%","5.3%","1.83","2.3%","6.3%","2.3%"
"Jackie Young                                                                                   J Young","$169,950","--","37","1,205","22.8%","0.97","1.11","50.5%","18.0%","39.7%","19.0%","44.9%","36.0%","2.6%","12.5%","7.7%","27.1%","13.0%","2.53","1.4%","0.6%","3.4%"
"Li Yueru                                                                                   L Yueru","$64,767","--","38","546","16.7%","0.93","1.11","47.6%","17.0%","8.6%","27.5%","66.3%","6.2%","11.8%","18.6%","15.4%","7.1%","15.9%","0.67","1.0%","1.4%","6.6%"
"Cecilia Zandalasini                                                                                   C Zandalasini","$64,154","SuspCE","40","487","18.0%","0.96","1.14","55.7%","13.3%","43.8%","9.8%","39.3%","50.8%","1.2%","9.4%","5.4%","14.7%","16.2%","1.39","1.4%","1.6%","5.0%"
"Olivia Époupa                                                                                   O Époupa","$64,154","Rookie","17","114","12.9%","0.44","0.82","37.5%","5.9%","0.0%","14.3%","85.7%","0.0%","6.3%","12.7%","9.6%","32.9%","46.9%","1.73","5.3%","0.0%","5.0%"
"Olivia Époupa                                                                                   O Époupa","$635","UFA","17","114","12.9%","0.44","0.82","37.5%","5.9%","0.0%","14.3%","85.7%","0.0%","6.3%","12.7%","9.6%","32.9%","46.9%","1.73","5.3%","0.0%","5.0%"
