Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Rachel Banham,TOT,G,37,586,37,586,9.7,.498,.480,.703,.099,1.4,5.4,11.1,1.2,1.1,8.7,17.7,101,105,,0.4,0.6,1.0,.070
Morgan Bertsch,TOT,F,11,100,11,100,-3.9,.320,.233,.500,.333,9.6,9.9,3.1,0.5,0.9,27.4,21.5,60,115,,-0.6,0.0,-0.6,-0.250
Monique Billings,TOT,F,37,844,37,844,12.5,.524,.472,.061,.309,9.0,14.9,9.8,1.6,2.0,19.9,16.9,99,111,,0.4,0.1,0.5,.024
Crystal Dangerfield,TOT,G,33,441,33,441,6.0,.383,.347,.473,.130,0.5,4.5,23.0,1.3,1.2,15.8,16.7,83,109,,-0.7,0.2,-0.5,-0.048
Queen Egbo,TOT,F-C,8,29,8,29,20.2,.466,.417,.000,.167,12.5,20.4,0.0,5.2,2.9,0.0,20.4,100,90,,0.0,0.1,0.1,.154
Myisha Hines-Allen,TOT,F,40,747,40,747,17.3,.573,.529,.205,.270,6.7,14.9,24.1,1.8,0.5,17.0,20.1,109,100,,1.6,1.3,2.9,.154
Moriah Jefferson,TOT,G,23,185,23,185,5.7,.334,.262,.452,.238,1.8,2.8,23.2,2.3,0.0,14.7,13.1,85,106,,-0.2,0.2,0.0,-0.006
Sika Koné,TOT,F,27,217,27,217,15.7,.536,.452,.083,.429,7.7,15.1,10.1,1.4,0.9,12.3,23.9,104,102,,0.3,0.3,0.7,.120
Marina Mabrey,TOT,G,40,1235,40,1235,15.2,.524,.508,.500,.133,2.0,8.2,23.3,1.9,1.3,14.6,23.2,100,103,,1.0,1.6,2.6,.085
Odyssey Sims,TOT,G,24,700,24,700,17.2,.560,.525,.240,.260,2.9,4.4,31.9,2.0,0.6,16.2,20.2,109,113,,1.5,-0.2,1.4,.078
Sug Sutton,TOT,G,29,379,29,379,5.4,.395,.367,.519,.165,1.9,4.3,24.8,2.2,0.2,28.6,14.4,80,111,,-0.7,0.1,-0.6,-0.064
Celeste Taylor,TOT,G,22,327,22,327,6.0,.415,.387,.484,.290,2.2,5.0,12.9,2.3,2.8,23.9,12.9,78,109,,-0.6,0.2,-0.4,-0.049
Rachel Banham,CON,G,21,270,21,270,9.5,.503,.479,.695,.105,1.4,5.7,8.6,1.6,1.8,10.0,18.9,97,99,,0.1,0.5,0.6,.086
Morgan Bertsch,PHO,F,8,78,8,78,-1.9,.344,.259,.519,.296,10.8,8.9,4.0,0.0,1.2,22.8,23.3,68,115,,-0.4,0.0,-0.4,-0.219
Monique Billings,DAL,F,24,609,24,609,12.7,.526,.477,.040,.288,8.6,15.6,11.7,1.2,1.8,20.4,17.7,99,113,,0.3,-0.1,0.2,.011
Crystal Dangerfield,ATL,G,15,211,15,211,6.2,.391,.324,.426,.204,0.5,4.3,20.0,1.0,1.3,13.3,14.5,88,107,,-0.2,0.1,0.0,-0.005
Queen Egbo,CON,F-C,3,7,3,7,-11.5,.170,.000,.000,.400,17.4,17.6,0.0,0.0,0.0,0.0,38.8,53,102,,-0.1,0.0,-0.1,-0.385
Myisha Hines-Allen,WAS,F,27,517,27,517,16.6,.562,.528,.222,.199,6.1,15.3,25.5,1.5,0.4,16.9,20.2,107,103,,0.9,0.7,1.6,.125
Moriah Jefferson,CON,G,9,61,9,61,13.3,.535,.469,.563,.250,0.0,2.0,15.7,5.2,0.0,10.1,15.0,110,94,,0.1,0.2,0.3,.172
Sika Koné,MIN,F,17,57,17,57,10.8,.501,.412,.000,.529,14.9,12.2,2.8,1.8,0.0,19.3,21.0,95,101,,0.0,0.1,0.1,.069
Marina Mabrey,CHI,G,24,796,24,796,12.7,.489,.467,.495,.146,2.3,8.4,23.3,1.9,0.8,16.3,22.6,95,106,,0.0,0.6,0.6,.032
Odyssey Sims,DAL,G,9,305,9,305,22.7,.618,.605,.281,.228,4.2,5.1,28.1,2.5,1.1,11.3,19.9,124,115,,1.3,-0.2,1.2,.151
Sug Sutton,PHO,G,22,328,22,328,5.7,.405,.375,.514,.181,2.2,4.2,24.2,2.2,0.3,27.2,14.9,82,111,,-0.5,0.0,-0.5,-0.064
Celeste Taylor,IND,G,5,16,5,16,8.3,.798,1.000,.000,2.000,0.0,3.7,8.7,0.0,5.6,34.7,8.0,105,113,,0.0,0.0,0.0,.018
Queen Egbo,LAS,F-C,2,4,2,4,47.7,1.000,1.000,.000,.000,30.0,45.1,0.0,12.6,0.0,0.0,11.2,208,74,,0.0,0.0,0.1,.548
Queen Egbo,LVA,F-C,3,18,3,18,26.5,.667,.667,.000,.000,6.6,16.0,0.0,5.6,4.7,0.0,15.4,131,89,,0.1,0.1,0.1,.277
Morgan Bertsch,DAL,F,3,22,3,22,-11.1,.129,.000,.333,.667,5.3,13.5,0.0,2.3,0.0,50.8,15.4,21,112,,-0.2,0.0,-0.2,-0.359
Moriah Jefferson,CHI,G,14,124,14,124,1.9,.209,.135,.385,.231,2.6,3.2,26.9,0.8,0.0,17.3,12.3,72,112,,-0.3,0.0,-0.3,-0.094
Odyssey Sims,LAS,G,15,395,15,395,13.0,.509,.453,.203,.289,1.8,3.8,34.9,1.7,0.2,20.0,20.4,98,112,,0.2,0.0,0.2,.021
Celeste Taylor,CON,G,2,11,2,11,0.9,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,4.2,200,106,,0.0,0.0,0.0,.121
Celeste Taylor,PHO,G,15,300,15,300,6.0,.395,.367,.500,.267,2.4,5.2,13.6,2.6,2.7,23.9,13.5,77,108,,-0.6,0.1,-0.4,-0.059
Crystal Dangerfield,LAS,G,18,230,18,230,5.8,.377,.364,.506,.078,0.5,4.7,25.9,1.5,1.1,17.6,18.7,79,111,,-0.5,0.0,-0.5,-0.087
Sika Koné,WAS,F,10,160,10,160,17.5,.545,.463,.104,.403,5.1,16.1,12.7,1.3,1.2,10.2,24.9,106,102,,0.3,0.2,0.6,.138
Rachel Banham,CHI,G,16,316,16,316,9.8,.494,.481,.710,.093,1.4,5.0,13.2,1.0,0.6,7.5,16.7,105,110,,0.4,0.1,0.4,.057
Sug Sutton,WAS,G,7,51,7,51,3.8,.286,.286,.571,.000,0.0,4.7,28.8,2.0,0.0,41.7,10.7,70,106,,-0.1,0.0,-0.1,-0.066
Monique Billings,PHO,F,13,235,13,235,11.8,.518,.453,.132,.377,10.2,13.3,4.8,2.6,2.3,18.5,14.8,99,105,,0.1,0.2,0.3,.056
Marina Mabrey,CON,G,16,439,16,439,19.9,.584,.574,.508,.113,1.4,7.9,23.2,1.9,2.2,11.7,24.4,109,97,,1.0,1.0,2.0,.182
Myisha Hines-Allen,MIN,F,13,230,13,230,18.6,.600,.529,.162,.456,7.9,13.9,21.1,2.5,0.8,17.2,19.8,115,95,,0.7,0.6,1.3,.219
