Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Sydney Colson,LVA,G,31,248,31,248,12.4,.559,.531,.578,.141,0.5,3.3,18.3,3.0,1.7,17.1,15.2,103,101,,0.2,0.4,0.6,.100
Zia Cooke,LAS,G,29,257,29,257,5.1,.413,.371,.330,.259,1.4,4.2,11.8,1.8,1.0,14.4,25.3,78,111,,-0.8,0.0,-0.8,-0.120
Kahleah Copper,PHO,G-F,37,1197,37,1197,16.4,.544,.490,.350,.330,2.4,8.2,14.2,1.2,0.2,13.3,31.8,99,111,,0.9,0.2,1.1,.037
Lorela Cubaj,ATL,F-C,28,221,28,221,6.9,.444,.429,.000,.143,9.5,10.6,10.9,2.1,0.8,24.4,10.1,92,104,,-0.1,0.3,0.2,.037
Sophie Cunningham,PHO,G,40,1110,40,1110,12.7,.618,.571,.750,.288,1.7,8.2,11.3,1.9,0.8,12.3,12.8,116,109,,2.2,0.5,2.7,.097
Damiris Dantas,IND,F,20,210,20,210,13.7,.561,.547,.446,.162,2.3,12.0,9.3,1.2,2.1,13.1,19.3,103,109,,0.2,0.1,0.3,.059
Kaela Davis,CHI,F,4,52,4,52,2.4,.436,.417,.167,.333,2.1,4.4,2.9,1.0,3.4,22.5,15.0,74,109,,-0.1,0.0,-0.1,-0.074
Marquesha Davis,NYL,G,20,80,20,80,8.3,.478,.432,.045,.318,3.0,7.2,7.6,0.6,4.3,10.7,15.8,97,101,,0.0,0.1,0.2,.076
Diamond DeShields,CHI,G,32,441,32,441,7.0,.404,.376,.323,.224,1.7,5.9,15.8,2.3,1.6,14.1,20.5,83,106,,-0.8,0.4,-0.4,-0.035
Skylar Diggins-Smith,SEA,G,40,1262,40,1262,18.6,.525,.466,.263,.294,2.5,4.7,34.0,2.7,2.5,16.0,23.9,105,100,,2.2,2.1,4.3,.138
Liz Dixon,PHO,F,17,160,17,160,9.9,.449,.379,.000,.345,10.5,14.9,8.6,0.3,5.1,19.3,11.9,97,108,,0.0,0.1,0.1,.029
Ivana Dojkić,NYL,G,26,257,26,257,9.4,.507,.446,.568,.365,4.2,4.9,11.6,1.8,0.3,14.0,17.5,102,103,,0.2,0.4,0.6,.089
Stefanie Dolson,WAS,C,39,1011,39,1011,13.7,.621,.604,.554,.150,3.8,11.4,17.3,1.1,1.7,18.6,16.4,108,104,,1.6,1.1,2.7,.107
